 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 324-736-023
127.0.0.1 - - [20/May/2026 10:53:52] "[31m[1mGET /api/admin/health HTTP/1.1[0m" 401 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:25] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:27] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:27] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:27] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:27] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:27] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:28] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:29] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:29] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:29] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:31] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:31] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:31] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:31] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:31] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:32] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:33] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:33] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:33] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:33] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:33] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:34] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:34] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:34] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:34] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:34] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:34] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:34] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:35] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:35] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:35] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:35] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:35] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:35] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:36] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:37] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:37] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:37] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:38] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:39] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:39] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:39] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:39] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:55:39] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:39] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:40] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:40] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:40] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:40] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:41] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:42] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:42] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:42] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:42] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:42] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:43] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:44] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:44] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:44] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:44] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:44] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:45] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:46] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:55:46] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:46] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:47] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:47] "GET /api/payment-history HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:47] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:48] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:49] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:49] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:49] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:49] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:50] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:50] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:50] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:50] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:50] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:50] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:55:50] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:50] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:51] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:51] "GET /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:51] "GET /api/stations HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:51] "GET /api/results HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:51] "GET /api/profile HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:51] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:55:51] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:51] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:52] "[31m[1mPOST /api/results HTTP/1.1[0m" 400 -
127.0.0.1 - - [20/May/2026 10:55:52] "POST /api/elections HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:52] "GET /api/subscriptions HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:52] "GET /api/managers HTTP/1.1" 200 -
127.0.0.1 - - [20/May/2026 10:55:52] "GET /api/payment-history HTTP/1.1" 200 -
